Core, 0, 0
Cumulative_Cycles, 0, 7726                
Cumulative_Instructions, 0, 1003                
Periodic_Cycles, 0, 7726                
Periodic_Instructions, 0, 1003                
DCACHE_PREF_HIT_count, 0,             0
DCACHE_PREF_HIT_total_count, 0,             0

IFETCH_WB_FIRST_SCHEDULE_count, 417,             0
IFETCH_WB_FIRST_SCHEDULE_total_count, 417,             0

PREFETCH_LAST_SCHEDULE_count, 417,             0
PREFETCH_LAST_SCHEDULE_total_count, 417,             0

DEMAND_PASS_PREF_SCHEDULE_count, 417,             0
DEMAND_PASS_PREF_SCHEDULE_total_count, 417,             0

DEMAND_PASS_LOW_OP_SCHEDULE_count, 417,             0
DEMAND_PASS_LOW_OP_SCHEDULE_total_count, 417,             0

DEMAND_LAST_SCHEDULE_count, 417,             0
DEMAND_LAST_SCHEDULE_total_count, 417,             0

SEND_MISS_REQ_QUEUE_count, 0,           503
SEND_MISS_REQ_QUEUE_total_count, 0,           503

L1_DATA_EVICT_count, 0,             0
L1_DATA_EVICT_total_count, 0,             0

STREAM_BUFFER_REQ_count, 0,             0
STREAM_BUFFER_REQ_total_count, 0,             0

PREF_SEND_TO_MEM_REQ_count, 418,             0
PREF_SEND_TO_MEM_REQ_total_count, 418,             0

PREF_SEND_TO_MEM_REQ_FAIL_count, 418,             0
PREF_SEND_TO_MEM_REQ_FAIL_total_count, 418,             0

HIT_TRAIN_STREAM_count, 419,            17
HIT_TRAIN_STREAM_total_count, 419,            17

MISS_TRAIN_STREAM_count, 419,            74
MISS_TRAIN_STREAM_total_count, 419,            74

STREAM_TRAIN_CREATE_count, 0,            52
STREAM_TRAIN_CREATE_total_count, 0,            52

MEM_REQ_MISS_HWP_PREF_Q_count, 420,             0
MEM_REQ_MISS_HWP_PREF_Q_total_count, 420,             0

MEM_REQ_MISS_SW_PREF_Q_count, 420,             0
MEM_REQ_MISS_SW_PREF_Q_total_count, 420,             0

MEM_REQ_MISS_IFETCH_Q_count, 420,             0
MEM_REQ_MISS_IFETCH_Q_total_count, 420,             0

MEM_REQ_MISS_DFETCH_Q_count, 420,             0
MEM_REQ_MISS_DFETCH_Q_total_count, 420,             0

MEM_REQ_MISS_DSTORE_Q_count, 420,             0
MEM_REQ_MISS_DSTORE_Q_total_count, 420,             0

MEM_REQ_MISS_DPRF_Q_count, 420,             0
MEM_REQ_MISS_DPRF_Q_total_count, 420,             0

MEM_REQ_MISS_WB_Q_count, 420,             0
MEM_REQ_MISS_WB_Q_total_count, 420,             0

PREF_HIT_BY_DEMAND_IFETCH_count, 421,             0
PREF_HIT_BY_DEMAND_IFETCH_total_count, 421,             0

PREF_HIT_BY_DEMAND_DFETCH_count, 421,             0
PREF_HIT_BY_DEMAND_DFETCH_total_count, 421,             0

PREF_HIT_BY_DEMAND_DSTORE_count, 421,             0
PREF_HIT_BY_DEMAND_DSTORE_total_count, 421,             0

PREF_HIT_BY_DEMAND_IPREF_count, 421,             0
PREF_HIT_BY_DEMAND_IPREF_total_count, 421,             0

PREF_HIT_BY_DEMAND_DPRF_count, 421,             0
PREF_HIT_BY_DEMAND_DPRF_total_count, 421,             0

PREF_HIT_BY_DEMAND_WB_count, 421,             0
PREF_HIT_BY_DEMAND_WB_total_count, 421,             0

PREF_HIT_BY_PREF_count, 421,             0
PREF_HIT_BY_PREF_total_count, 421,             0

PREF_HIT_DEMAND_IFETCH_count, 422,             0
PREF_HIT_DEMAND_IFETCH_total_count, 422,             0

PREF_HIT_DEMAND_DFETCH_count, 422,             0
PREF_HIT_DEMAND_DFETCH_total_count, 422,             0

PREF_HIT_DEMAND_DSTORE_count, 422,             0
PREF_HIT_DEMAND_DSTORE_total_count, 422,             0

PREF_HIT_DEMAND_IPREF_count, 422,             0
PREF_HIT_DEMAND_IPREF_total_count, 422,             0

PREF_HIT_DEMAND_DPRF_count, 422,             0
PREF_HIT_DEMAND_DPRF_total_count, 422,             0

PREF_HIT_DEMAND_WB_count, 422,             0
PREF_HIT_DEMAND_WB_total_count, 422,             0

PREF_L1_FILL_count, 423,             0
PREF_L1_FILL_total_count, 423,             0

DEMAND_L1_FILL_count, 423,             0
DEMAND_L1_FILL_total_count, 423,             0

TOUCH_L1_REPLACE_count, 424,             0
TOUCH_L1_REPLACE_total_count, 424,             0

NO_TOUCH_L1_REPLACE_count, 424,             0
NO_TOUCH_L1_REPLACE_total_count, 424,             0

PREF_REQ_QUE_FULL_count, 0,             0
PREF_REQ_QUE_FULL_total_count, 0,             0

STREAM_REQ_QUEUE_HIT_BY_DEMAND_count, 0,             0
STREAM_REQ_QUEUE_HIT_BY_DEMAND_total_count, 0,             0

L2HIT_STREAM_PREF_REQ_QUE_FULL_count, 0,             0
